business_id,country,business_creation_date,first_offer_creation_date,trailing_30d_sales_at_first_offer_creation_date,first_offer_amount,first_offer_interest_rate,first_view_timestamp,first_acceptance_date
205d76e0-48d2-4f57-8b8f-60cc29ca225d,US,2019-04-25,2020-01-14,20050.18,22500.0,0.0772,,
a1436e8a-9762-4617-8350-0a0914e2cf4b,US,2017-11-17,2020-01-23,55720.06,93100.0,0.0829,2020-01-27 17:28:40,
58594031-c826-4aea-9a39-9495849d4dc1,US,2018-01-29,2020-01-24,2057.82,1800.0,0.0804,,
7c1d5943-4e52-48cc-aa5c-e1e49d9f314a,US,2018-09-29,2020-01-21,2485.1,2500.0,0.0584,2020-02-07 12:10:09,
737f532e-97c7-4491-99bb-b467e341d6a4,UK,2016-06-08,2020-01-27,5770.18,5500.0,0.0415,2020-02-25 11:27:28,2020-03-14
8ee7d976-5275-49a4-bef0-1c8c740b1320,US,2016-02-24,2020-01-17,1650.53,1500.0,0.0796,,
0c49c50e-060a-4c20-a4e2-79cb9d852a9e,US,2019-01-07,2020-01-07,1605.93,700.0,0.0595,,
5f1b6837-b90a-4a4b-a191-5eaa34c544b8,US,2018-09-03,2020-01-14,12859.79,8500.0,0.0556,,
85b38c5a-27e8-4ba2-b748-1a861101736a,UK,2017-10-02,2020-01-17,1523.66,1200.0,0.078,2020-01-19 22:16:10,2020-02-04
6a324431-b293-4026-a42c-b64e3850c3aa,US,2018-05-23,,,,,,
4606cc80-e11b-402e-bc61-2a81db32c840,US,2017-12-13,2020-01-14,108523.98,160700.0,0.0624,2020-09-12 02:28:45,
910c6bdb-3962-4dc8-a7a7-91bf63186ea9,US,2018-12-05,2020-01-24,24914.28,40500.0,0.0754,2020-02-24 06:34:20,2020-03-01
71194f69-39ec-479f-95c0-a01ba7c61128,US,2018-03-03,2020-01-27,1991.29,2400.0,0.0715,2020-01-31 20:47:53,2020-02-26
cca8c4b7-8208-4d4d-ac45-e1b46e83f445,US,2018-08-31,,,,,,
f74cfa38-177b-433a-aead-2a4dd8948764,US,2017-08-03,2020-01-04,6464.62,9100.0,0.0786,,
3aabe7b9-462c-47b3-9ada-3e50b8e0bb40,US,2018-11-02,2020-01-06,1500.08,1300.0,0.0794,,
a74df320-d6d6-403d-8eb3-22f2dccecc1e,UK,2019-01-19,2020-01-05,1531.23,2100.0,0.0527,,
0aff8566-c620-473b-9f06-3efa6aff7172,US,2017-10-17,2020-01-20,8546.94,12100.0,0.0608,2020-02-22 00:49:29,
43eb5b02-2965-42e9-9076-bcf18b625a62,US,2018-08-28,,,,,,
3d9778f4-fbb8-45d1-9e61-3c2233aa2e0f,US,2015-05-07,2020-01-19,7548.69,11400.0,0.0664,,
bf5d9934-a509-4dfb-bbf1-5f327f68cdd7,US,2019-03-15,2020-01-12,2779.36,4600.0,0.065,,
1bfcd9f4-f4ba-44a7-becf-0f2aecd7d3a9,US,2017-06-12,2020-01-16,1500.64,800.0,0.0583,,
9dc77f5f-39b7-441d-b93c-4e6057866ce9,US,2019-02-05,,,,,,
b7f1b64b-8720-40f5-a0e3-863674268e6d,US,2019-02-14,2020-01-15,41536.53,72600.0,0.0567,,
a67d5c2e-1d53-41d5-9b09-93e0ad8c45e2,US,2019-11-15,,,,,,
97fa1f0d-a296-4376-8348-e77670a728a3,US,2018-09-05,,,,,,
cc221336-d82c-4bd1-839e-def3b0d4995b,UK,2019-05-04,,,,,,
4cfa4eeb-c157-45f3-be1c-340be0b24c6c,UK,2017-05-15,2020-01-04,40214.69,46900.0,0.0666,,
4071af08-c055-4407-b009-0238ea194a73,UK,2017-12-31,2020-01-23,1501.17,2800.0,0.0629,,
2c2b7afc-d2d3-4851-8f4e-569c76330279,US,2018-03-11,2020-01-14,25519.8,34400.0,0.0552,2020-01-18 13:18:34,2020-01-25
101b721e-966f-409c-afa7-7b8920acb38b,US,2018-02-11,,,,,,
